Hotel_Name,Hotel_Address,Review_Text,Review_Rating,Tags,Average_Score,Review_Total_Positive_Word_Counts,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews
The Oberoi New Delhi,Dr APJ Abdul Kalam Road New Delhi 110003 India,"Exceptional service and luxurious amenities. The staff went above and beyond to make our stay memorable.",9.2,"Luxury,Business,Couple",9.1,156,23,2847
The Oberoi New Delhi,Dr APJ Abdul Kalam Road New Delhi 110003 India,"Beautiful rooms with stunning city views. The spa was absolutely divine and relaxing.",9.0,"Luxury,Spa,Couple",9.1,134,18,2847
The Oberoi New Delhi,Dr APJ Abdul Kalam Road New Delhi 110003 India,"Outstanding breakfast buffet with incredible variety. Location is perfect for business meetings.",8.8,"Luxury,Business,Breakfast",9.1,142,12,2847
ITC Maurya New Delhi,Sardar Patel Marg Diplomatic Enclave New Delhi 110021 India,"Excellent business facilities and conference rooms. The Bukhara restaurant is world-class.",8.9,"Business,Luxury,Restaurant",8.7,128,19,1923
ITC Maurya New Delhi,Sardar Patel Marg Diplomatic Enclave New Delhi 110021 India,"Spacious rooms with modern amenities. Staff is professional and courteous throughout.",8.6,"Business,Luxury,Professional",8.7,119,15,1923
The Leela Palace New Delhi,Chanakyapuri New Delhi 110023 India,"Magnificent architecture and royal treatment. Every detail is carefully crafted for luxury.",9.4,"Luxury,Royal,Architecture",9.2,167,8,1654
The Leela Palace New Delhi,Chanakyapuri New Delhi 110023 India,"Impeccable service and attention to detail. The afternoon tea experience was unforgettable.",9.1,"Luxury,Service,Experience",9.2,145,11,1654
Hotel Taj Palace New Delhi,2 Sardar Patel Marg New Delhi 110021 India,"Classic elegance with modern comfort. The gardens are beautiful and peaceful.",8.7,"Luxury,Garden,Peaceful",8.9,132,16,2156
Hotel Taj Palace New Delhi,2 Sardar Patel Marg New Delhi 110021 India,"Great location near diplomatic area. Rooms are well-appointed and comfortable.",8.5,"Business,Location,Comfortable",8.9,124,14,2156
The Imperial New Delhi,Janpath New Delhi 110001 India,"Historic charm with contemporary luxury. The heritage and service are exceptional.",9.0,"Heritage,Luxury,Historic",8.8,139,13,1789
The Imperial New Delhi,Janpath New Delhi 110001 India,"Central location perfect for exploring Delhi. The colonial architecture is stunning.",8.8,"Heritage,Location,Architecture",8.8,127,17,1789
Taj Mahal Palace Mumbai,Apollo Bunder Colaba Mumbai 400001 India,"Iconic hotel with breathtaking harbor views. The heritage and grandeur are unmatched.",9.3,"Heritage,Luxury,Harbor",9.4,178,9,3421
Taj Mahal Palace Mumbai,Apollo Bunder Colaba Mumbai 400001 India,"Exceptional dining options and world-class service. Every meal was a culinary delight.",9.1,"Luxury,Dining,Service",9.4,156,12,3421
The Oberoi Mumbai,Nariman Point Mumbai 400021 India,"Stunning ocean views and impeccable service. The location is perfect for business.",9.2,"Business,Ocean,Luxury",9.0,164,14,2234
The Oberoi Mumbai,Nariman Point Mumbai 400021 India,"Luxurious rooms with modern amenities. The spa treatments were incredibly relaxing.",8.9,"Luxury,Spa,Modern",9.0,142,16,2234
ITC Grand Central Mumbai,Parel Mumbai 400012 India,"Excellent business hotel with great connectivity. The executive lounge is outstanding.",8.8,"Business,Executive,Connectivity",8.6,135,18,1567
ITC Grand Central Mumbai,Parel Mumbai 400012 India,"Spacious rooms and professional service. Perfect for corporate travelers and meetings.",8.6,"Business,Corporate,Spacious",8.6,121,22,1567
The St. Regis Mumbai,462 Senapati Bapat Marg Mumbai 400013 India,"Ultra-luxury experience with personalized butler service. Every detail is perfect.",9.5,"Ultra-Luxury,Butler,Personalized",9.3,189,6,1234
The St. Regis Mumbai,462 Senapati Bapat Marg Mumbai 400013 India,"Exquisite dining and sophisticated ambiance. The rooftop bar offers amazing city views.",9.2,"Luxury,Dining,Rooftop",9.3,167,8,1234
Trident Nariman Point,Nariman Point Mumbai 400021 India,"Great value for a luxury hotel. Professional service and excellent location for business.",8.4,"Business,Value,Professional",8.3,118,21,1876
Trident Nariman Point,Nariman Point Mumbai 400021 India,"Comfortable rooms with good amenities. The breakfast spread is impressive and varied.",8.2,"Comfortable,Breakfast,Amenities",8.3,112,19,1876
The Leela Palace Bangalore,23 Airport Road Bangalore 560008 India,"Magnificent palace-style architecture with royal treatment. The gardens are absolutely beautiful.",9.1,"Luxury,Palace,Gardens",8.9,152,11,1432
